Country of birth/nationality,Country,Year,Value
France,France,2019,0.0
France,Germany,2019,7057.0
France,Germany,2019,6649.0
France,Germany,2019,14486.0
France,Germany,2019,13603.0
France,Germany,2019,5.0
France,Greece,2019,0.0
France,Italy,2019,1056.0
France,Italy,2019,329.0
France,Italy,2019,2061.0
France,Italy,2019,634.0
France,Italy,2019,0.0
France,Portugal,2019,2361.0
France,Portugal,2019,4390.0
France,Portugal,2019,0.0
France,Spain,2019,5969.0
France,Spain,2019,3095.0
France,Spain,2019,12125.0
France,Spain,2019,6416.0
France,Spain,2019,5.0
France,Switzerland,2019,6103.0
France,Switzerland,2019,3429.0
France,Switzerland,2019,13961.0
France,Switzerland,2019,7986.0
France,Switzerland,2019,0.0
France,Türkiye,2019,498.0
France,Türkiye,2019,1064.0
France,United Kingdom,2019,15000.0
France,United Kingdom,2019,0.0
Germany,France,2019,3014.0
Germany,France,2019,5700.0
Germany,France,2019,0.0
Germany,Germany,2019,0.0
Germany,Greece,2019,0.0
Germany,Italy,2019,995.0
Germany,Italy,2019,627.0
Germany,Italy,2019,1835.0
Germany,Italy,2019,0.0
Germany,Portugal,2019,1257.0
Germany,Portugal,2019,2825.0
Germany,Portugal,2019,0.0
Germany,Spain,2019,4650.0
Germany,Spain,2019,3914.0
Germany,Spain,2019,9428.0
Germany,Spain,2019,7802.0
Germany,Spain,2019,5.0
Germany,Switzerland,2019,8544.0
Germany,Switzerland,2019,5516.0
Germany,Switzerland,2019,19914.0
Germany,Switzerland,2019,13338.0
Germany,Switzerland,2019,5.0
Germany,Türkiye,2019,4658.0
Germany,Türkiye,2019,9417.0
Germany,United Kingdom,2019,9663.0
Germany,United Kingdom,2019,0.0
Greece,France,2019,543.0
Greece,France,2019,915.0
Greece,France,2019,0.0
Greece,Germany,2019,8885.0
Greece,Germany,2019,7097.0
Greece,Germany,2019,23530.0
Greece,Germany,2019,20363.0
Greece,Germany,2019,0.0
Greece,Greece,2019,0.0
Greece,Italy,2019,339.0
Greece,Italy,2019,60.0
Greece,Italy,2019,611.0
Greece,Italy,2019,118.0
Greece,Italy,2019,0.0
Greece,Portugal,2019,0.0
Greece,Spain,2019,371.0
Greece,Spain,2019,155.0
Greece,Spain,2019,800.0
Greece,Spain,2019,373.0
Greece,Spain,2019,0.0
Greece,Switzerland,2019,756.0
Greece,Switzerland,2019,261.0
Greece,Switzerland,2019,1798.0
Greece,Switzerland,2019,617.0
Greece,Switzerland,2019,0.0
Greece,Türkiye,2019,2893.0
Greece,Türkiye,2019,5848.0
Greece,United Kingdom,2019,8858.0
Greece,United Kingdom,2019,0.0
Italy,France,2019,6639.0
Italy,France,2019,14631.0
Italy,France,2019,0.0
Italy,Germany,2019,19878.0
Italy,Germany,2019,15598.0
Italy,Germany,2019,50408.0
Italy,Germany,2019,41954.0
Italy,Germany,2019,10.0
Italy,Greece,2019,0.0
Italy,Italy,2019,0.0
Italy,Portugal,2019,3360.0
Italy,Portugal,2019,7865.0
Italy,Portugal,2019,0.0
Italy,Spain,2019,15621.0
Italy,Spain,2019,4091.0
Italy,Spain,2019,33362.0
Italy,Spain,2019,9554.0
Italy,Spain,2019,0.0
Italy,Switzerland,2019,6192.0
Italy,Switzerland,2019,3188.0
Italy,Switzerland,2019,15926.0
Italy,Switzerland,2019,8952.0
Italy,Switzerland,2019,5.0
Italy,Türkiye,2019,241.0
Italy,Türkiye,2019,604.0
Italy,United Kingdom,2019,18000.0
Italy,United Kingdom,2019,10.0
Portugal,France,2019,3686.0
Portugal,France,2019,7643.0
Portugal,Germany,2019,2806.0
Portugal,Germany,2019,2752.0
Portugal,Germany,2019,8080.0
Portugal,Germany,2019,8103.0
Portugal,Italy,2019,259.0
Portugal,Italy,2019,72.0
Portugal,Italy,2019,528.0
Portugal,Italy,2019,148.0
Portugal,Spain,2019,3643.0
Portugal,Spain,2019,1907.0
Portugal,Spain,2019,8707.0
Portugal,Spain,2019,5239.0
Portugal,Spain,2019,5.0
Portugal,Switzerland,2019,3460.0
Portugal,Switzerland,2019,4625.0
Portugal,Switzerland,2019,8347.0
Portugal,Switzerland,2019,10528.0
Portugal,Switzerland,2019,0.0
Portugal,Türkiye,2019,36.0
Portugal,Türkiye,2019,110.0
Portugal,United Kingdom,2019,17000.0
Portugal,United Kingdom,2019,5.0
Spain,France,2019,5159.0
Spain,France,2019,10466.0
Spain,Germany,2019,8327.0
Spain,Germany,2019,7200.0
Spain,Germany,2019,18698.0
Spain,Italy,2019,1135.0
Spain,Italy,2019,298.0
Spain,Italy,2019,2114.0
Spain,Portugal,2019,1543.0
Spain,Portugal,2019,3246.0
Spain,Switzerland,2019,2465.0
Spain,Switzerland,2019,5189.0
Spain,Switzerland,2019,3437.0
Spain,Türkiye,2019,177.0
Spain,Türkiye,2019,442.0
Spain,United Kingdom,2019,18000.0
Switzerland,France,2019,33.0
Switzerland,France,2019,58.0
Switzerland,France,2019,0.0
Switzerland,Germany,2019,2182.0
Switzerland,Germany,2019,4161.0
Switzerland,Germany,2019,2945.0
Switzerland,Germany,2019,0.0
Switzerland,Greece,2019,0.0
Switzerland,Italy,2019,283.0
Switzerland,Italy,2019,499.0
Switzerland,Italy,2019,184.0
Switzerland,Italy,2019,0.0
Switzerland,Portugal,2019,226.0
Switzerland,Portugal,2019,473.0
Switzerland,Portugal,2019,0.0
Switzerland,Spain,2019,746.0
Switzerland,Spain,2019,1412.0
Switzerland,Spain,2019,747.0
Switzerland,Spain,2019,0.0
Switzerland,Switzerland,2019,0.0
Switzerland,Türkiye,2019,128.0
Switzerland,Türkiye,2019,239.0
Switzerland,United Kingdom,2019,0.0
Türkiye,France,2019,2196.0
Türkiye,France,2019,5077.0
Türkiye,France,2019,4110.0
Türkiye,Germany,2019,14924.0
Türkiye,Germany,2019,7669.0
Türkiye,Germany,2019,43775.0
Türkiye,Germany,2019,25407.0
Türkiye,Germany,2019,10785.0
Türkiye,Greece,2019,3795.0
Türkiye,Italy,2019,521.0
